Original_Label,Predicted_Label
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Mostly Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Partly Cloudy,Mostly Cloudy
Cloudy,Cloudy
Clear,Clear
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Partly Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Mostly Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Mostly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Partly Cloudy,Mostly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Cloudy
Mostly Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Mostly Cloudy
Cloudy,Cloudy
Clear,Clear
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Partly Cloudy,Mostly Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Partly Cloudy,Mostly Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Mostly Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Clear,Clear
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Cloudy,Cloudy
Partly Cloudy,Mostly Cloudy
Partly Cloudy,Cloudy
Clear,Clear
Clear,Clear
Cloudy,Cloudy
